Sr.No,Disease Name,Page,Causes,Symptoms,Diagnosis,Treatment Options,Medicine Options
1,Acne,11,"Hormonal changes; Bacteria; Excess oil","Pimples; Blackheads; Redness; Scarring","Physical exam; Skin biopsy","Topical retinoids; Antibiotics; Anti-inflammatory creams","Tretinoin cream; Clindamycin; Azelaic acid"
2,Acute Hepatic Porphyria,3,"Genetic enzyme deficiency","Severe abdominal pain; Neurological symptoms","Urine porphyrin test; Genetic testing","Hematin infusions; Pain management","Panhematin; Opioids (morphine)"
3,Allergy,13,"Pollen; Dust; Food; Insect stings","Sneezing; Itching; Swelling; Anaphylaxis","Skin prick test; IgE blood test","Antihistamines; Epinephrine (for severe)","Cetirizine; Loratadine; Epipen"
4,Amenorrhea,16,"PCOS; Stress; Thyroid disorders","Missing periods; Hair loss; Hot flashes","Blood tests (FSH, LH); Ultrasound","Hormone therapy; Lifestyle changes","Progesterone; Oral contraceptives"
5,Anemia,19,"Iron/B12 deficiency; Chronic disease","Fatigue; Pale skin; Shortness of breath","CBC; Hemoglobin test","Iron supplements; Blood transfusion","Ferrous sulfate; Vitamin B12 shots"
6,Angina Pectoris,22,"Coronary artery blockage","Chest pain; Nausea; Sweating","ECG; Stress test","Nitrates; Beta-blockers","Nitroglycerin; Atenolol"
7,Anxiety,26,"Genetics; Trauma; Stress","Panic attacks; Insomnia; Rapid heartbeat","Clinical evaluation","Therapy (CBT); SSRIs","Sertraline; Xanax (short-term)"
8,Arrhythmia,30,"Heart disease; Electrolyte imbalance","Irregular heartbeat; Dizziness","ECG; Holter monitor","Antiarrhythmics; Pacemaker","Amiodarone; Metoprolol"
9,Arthritis,33,"Autoimmune; Joint wear","Joint pain; Stiffness; Swelling","X-ray; Rheumatoid factor test","NSAIDs; DMARDs","Methotrexate; Ibuprofen"
10,Asthma,37,"Allergens; Pollution","Wheezing; Cough; Breathlessness","Spirometry; Peak flow","Inhalers; Steroids","Albuterol; Budesonide"
11,Bell's Palsy,43,"Viral infection (e.g., HSV)","Facial drooping; Loss of taste","Clinical exam; MRI (to rule out stroke)","Steroids; Antivirals","Prednisone; Acyclovir"
12,Blood Sugar Imbalance,47,"Diabetes; Insulin resistance","Fatigue; Frequent urination","Fasting glucose test; HbA1c","Diet; Insulin therapy","Metformin; Insulin injections"
13,Boils,50,"Staphylococcus infection","Painful red lumps; Pus","Physical exam; Culture test","Antibiotics; Warm compresses","Dicloxacillin; Mupirocin ointment"
14,Breast Cancer,54,"Genetic (BRCA); Hormonal","Lump; Nipple discharge","Mammogram; Biopsy","Surgery; Chemotherapy","Tamoxifen; Paclitaxel"
15,Breast Enlargement (Natural),58,"Hormonal imbalance; Genetics","Small breast size; Low BMI","Physical exam; Hormone tests","Herbal supplements; Diet","Fenugreek; Shatavari"
16,Burning Feet,62,"Nerve damage; Diabetes","Burning sensation; Tingling","Blood sugar test; Nerve conduction","Nerve supplements; Topicals","Gabapentin; Alpha-lipoic acid"
17,Burns,65,"Heat/chemical exposure","Blisters; Pain; Redness","Visual assessment","Cooling; Antibiotic creams","Silver sulfadiazine; Pain relievers"
18,Cancer (General),68,"Genetic; Environmental","Weight loss; Fatigue","Biopsy; Imaging","Chemo; Radiation; Surgery","Paclitaxel; Cisplatin"
19,Cervical Dysplasia,72,"HPV infection","Often asymptomatic","Pap smear","Cryotherapy; LEEP","HPV vaccine (prevention)"
20,Chikungunya,75,"Alphavirus","Fever; Joint pain","PCR test","Pain management","NSAIDs; Chloroquine"
21,CHF (Congestive Heart Failure),78,"Coronary artery disease","Shortness of breath; Edema","Echocardiogram","Diuretics; Beta-blockers","Furosemide; Carvedilol"
22,Conjunctivitis,81,"Bacterial/viral/allergic","Red eyes; Discharge","Slit lamp exam","Antibiotic drops","Ofloxacin; Tobramycin"
23,Constipation,84,"Low fiber; Dehydration","Hard stools; Bloating","Clinical history","Fiber; Laxatives","Psyllium; Bisacodyl"
24,Cystitis,87,"E. coli infection","Painful urination","Urine culture","Antibiotics","Nitrofurantoin; Ciprofloxacin"
25,Dehydration,90,"Fluid loss","Dry mouth; Dizziness","Blood electrolytes","Oral/IV rehydration","ORS solution"
26,Dengue Fever,93,"Dengue virus","High fever; Rash; Pain","NS1 antigen test","Fluid management","Paracetamol; IV fluids"
27,Dental Infection,96,"Bacterial (tooth decay)","Tooth pain; Swelling","X-ray; Clinical exam","Antibiotics; Root canal","Amoxicillin; Clindamycin"
28,Depression,99,"Chemical imbalance","Persistent sadness; Fatigue","PHQ-9 questionnaire","Therapy; Antidepressants","Fluoxetine; Escitalopram"
29,Dry Cough,102,"Postnasal drip; Asthma","Non-productive cough","Chest X-ray; Spirometry","Cough suppressants","Dextromethorphan; Codeine"
30,Dysentery,105,"Bacterial (Shigella/E.coli)","Bloody diarrhea; Fever","Stool test","Antibiotics; Hydration","Ciprofloxacin; ORS"
31,Eczema,108,"Genetic; Allergens","Itchy; Red; Dry skin","Clinical exam","Moisturizers; Steroids","Hydrocortisone; Tacrolimus"
32,Erectile Dysfunction,111,"Vascular; Psychological","Difficulty maintaining erection","Blood tests; Ultrasound","PDE5 inhibitors; Therapy","Sildenafil; Tadalafil"
33,Fatty Liver,114,"Alcohol; Obesity","Often asymptomatic","Liver function tests","Weight loss; Diet","Vitamin E; Pioglitazone"
34,Fever,117,"Infections; Inflammation","Elevated temperature","Clinical history","Antipyretics; Hydration","Paracetamol; Ibuprofen"
35,Gallstones,120,"Cholesterol imbalance","Right upper quadrant pain","Ultrasound","Surgery; Dissolution therapy","Ursodiol; Pain meds"
36,Gastritis,123,"H. pylori; NSAIDs","Abdominal pain; Nausea","Endoscopy; Breath test","Antacids; Antibiotics","Omeprazole; Amoxicillin"
37,Glaucoma,126,"Increased eye pressure","Vision loss (late)","Tonometry; Eye exam","Eye drops; Surgery","Latanoprost; Timolol"
38,Hair Loss,129,"Genetics; Stress","Thinning; Bald patches","Clinical exam","Minoxidil; Transplant","Finasteride; Biotin"
39,Headache,132,"Tension; Migraine","Pain; Sensitivity to light","Clinical history","Pain relievers; Rest","Ibuprofen; Sumatriptan"
40,Heat Stroke,135,"High temperatures","Confusion; High fever","Clinical assessment","Cooling; IV fluids","Cooling blankets"
41,Hemophilia,138,"Genetic clotting factor deficiency","Excessive bleeding","Blood tests","Factor replacement","Factor VIII concentrate"
42,Hepatitis,141,"Viral (A/B/C)","Jaundice; Fatigue","Liver function tests","Antivirals; Supportive","Entecavir; Interferon"
